Barcode,Product Name,Purchased Price,Qty Available,Price
4806515161511,KERATIN PLUS GOLD 11+1F/20G,5.9,22.0,10.0
4800034601664,HAPEE TP EX MENTHOL RED TWN 11+1F/30G,5.781818182,11.0,8.0
4902430831338,TIDE POW. PERFECT CLEAN PF 6/64G,13.5,6.0,17.0
4902430698658,HEAD&SHOULDER SHAM SMOOTH&SILKY 6/12ML,6.4,12.0,8.0
4800888169709,SUNSILK SHAM STRONG&LONG GREEN 6/15ML,5.85,12.0,8.0
4800888139276,CREAM SILK COND. DAMAGE CONTROL BLUE 6/11ML,6.2,12.0,9.0
4800888139283,CREAM SILK COND. HAIR FALL DEFENSE GREEN 6/11ML,6.2,12.0,9.0
4800888169716,SUNSILK SHAM SMOOTH&MANAG PINK 6/15ML,5.85,12.0,8.0
4902430333597,HEAD&SHOULDER SHAM COOL MENTHOL 6/12ML,6.4,12.0,8.0
4902430698146,PANTENE SHAM TOTAL DAMAGE CARE 11+1F/15ML,6.1,11.0,8.0
4902430698085,PANTENE SHAM HAIR FALL CONTROL 6/15ML,6.1,12.0,8.0
4800888139306,CREAM SILK COND. STANDOUT STRAIGHT PNK 6/13ML,6.2,12.0,9.0
4800888158888,REXONA DEO LOTION 6/3ML POWDER DRY,6.75,12.0,10.0
4800888160027,REXONA DEO LOTION 6/3ML MEN ICE COOL,6.75,12.0,10.0
4800888150608,REXONA DEO LOTION 6/3ML WOMEN SHOWER CLEAN,6.75,12.0,10.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4808888004181,PALM SHAM. SILKY STRAIGHT VIOLET 11+1F/15ML,5.6,11.0,8.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4800488011415,CHARMEE NAP. COTTONY W/WINGS ALL TYPE 8,2.39375,8.0,7.0
4800488011484,CHARMEE NAP. NON WINGS ALL TYPES 8,2.11875,8.0,7.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
48035156,EFFICASCENT OIL EXTRA STRENGTH 25ML,30.4,2.0,35.0
4902430766142,PAMPERS BABY PANTS MEDIUM 16,11.5875,16.0,16.0
4806506319631,LAMPEIN BABY DIAPER LARGE 12,6.833333333,12.0,10.0
4806506319624,LAMPEIN BABY DIAPER MEDIUM 12,6.270833333,12.0,9.0
4902430827881,PAMPERS BABY PANTS SMALL 24,11.60833333,24.0,14.0
4806506319617,LAMPEIN BABY DIAPER SMALL 12,5.6375,12.0,8.0
4806506319648,LAMPEIN BABY DIAPER X-LARGE 12,7.395833333,12.0,12.0
4987176125156,PAMPERS PANTS XL 12,13.20833333,12.0,20.0
4987176125149,PAMPERS PANTS LARGE 14 SVP160,10.65,14.0,18.0
4987176125200,PAMPERS PANTS XXL 22 SVP70,15.22727273,22.0,22.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4806506318900,SISTERS NAP OVERNIGHT DRY 3/4 W+PL BP20 FREE,6.625,12.0,10.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4806506318856,SISTERS NAP SILK FLOSS W/WING N.U BLUE 8,2.84375,8.0,7.0
48032742,JOHNSON POWDER CLASSIC 10/25G+PT,15.65,10.0,20.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4902430790338,JOY DISH LIQUID KALAMANSI 6+1F/18.5ML,5.6,12.0,10.0
123,TANDUAY RHUM LIGHT 750ML ,107.6,1.0,130.0
4806502350096,SANICARE COTTON 10GM,5.25,5.0,7.0
4902430800846,TIDE CUT BAR SOAP PERFUME FANTASY 125G,12.75,3.0,15.0
4800045330034,PRIDE CUT BAR WHITE 95GG,6.1,3.0,10.0
4800888147240,CLOSE UP TP MENTHOL FRESH TWIN PACK 6/2/10G,7.75,12.0,10.0
